model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M671,1e-05,5.5e-06,0.5,0.03,0.01816,0.08776,nSEG,2,GNSS,0.0008400000000000005,0.11224,0.0442105263157895,0.5612,0.30270526315789476
M672,1e-05,5.5e-06,0.5,0.035,0.018088,0.09456,nSEG,2,GNSS,0.0009119999999999996,0.10544,0.04799999999999998,0.5272,0.28759999999999997
M673,1e-05,5.5e-06,0.5,0.04,0.01809,0.1004,nSEG,2,GNSS,0.0009100000000000011,0.09960000000000001,0.04789473684210532,0.498,0.27294736842105266
M674,1e-05,5.5e-06,0.5,0.05,0.018032,0.1117,nSEG,2,GNSS,0.0009680000000000001,0.08830000000000002,0.05094736842105264,0.44150000000000006,0.24622368421052634
M675,1e-05,5.5e-06,0.5,0.08,0.017901,0.1406,nSEG,2,GNSS,0.0010989999999999993,0.05940000000000001,0.05784210526315786,0.29700000000000004,0.17742105263157895
M676,1e-05,1e-05,-0.5,0.03,0.022593,0.1271,nSEG,2,GNSS,-0.003592999999999999,0.07290000000000002,0.1891052631578947,0.3645000000000001,0.2768026315789474
M677,1e-05,1e-05,-0.5,0.035,0.022538,0.1372,nSEG,2,GNSS,-0.0035379999999999995,0.06280000000000002,0.18621052631578944,0.3140000000000001,0.2501052631578948
M678,1e-05,1e-05,-0.5,0.04,0.022488,0.1466,nSEG,2,GNSS,-0.0034880000000000015,0.0534,0.18357894736842115,0.267,0.2252894736842106
M679,1e-05,1e-05,-0.5,0.05,0.022399,0.164,nSEG,2,GNSS,-0.0033989999999999992,0.036000000000000004,0.17889473684210522,0.18000000000000002,0.17944736842105263
M680,1e-05,1e-05,-0.5,0.08,0.022161,0.2077,nSEG,2,GNSS,-0.0031610000000000006,-0.007699999999999985,0.1663684210526316,0.03849999999999992,0.10243421052631577
M681,1e-05,1e-05,-0.25,0.03,0.022656,0.1151,nSEG,2,GNSS,-0.0036559999999999995,0.08490000000000002,0.19242105263157894,0.42450000000000004,0.30846052631578946
M682,1e-05,1e-05,-0.25,0.035,0.022601,0.1241,nSEG,2,GNSS,-0.003601,0.07590000000000001,0.18952631578947368,0.3795,0.28451315789473686
M683,1e-05,1e-05,-0.25,0.04,0.022553,0.1325,nSEG,2,GNSS,-0.0035530000000000006,0.0675,0.18700000000000003,0.3375,0.26225000000000004
M684,1e-05,1e-05,-0.25,0.05,0.022471,0.1481,nSEG,2,GNSS,-0.003471000000000002,0.0519,0.1826842105263159,0.2595,0.22109210526315795
M685,1e-05,1e-05,-0.25,0.08,0.022273,0.1877,nSEG,2,GNSS,-0.0032730000000000016,0.012300000000000005,0.17226315789473692,0.06150000000000003,0.11688157894736848
M686,1e-05,1e-05,0.0,0.03,0.022694,0.1074,nSEG,2,GNSS,-0.0036939999999999994,0.09260000000000002,0.1944210526315789,0.4630000000000001,0.3287105263157895
M687,1e-05,1e-05,0.0,0.035,0.022643,0.1156,nSEG,2,GNSS,-0.0036430000000000004,0.08440000000000002,0.19173684210526318,0.42200000000000004,0.3068684210526316
M688,1e-05,1e-05,0.0,0.04,0.022595,0.1235,nSEG,2,GNSS,-0.003595000000000001,0.07650000000000001,0.18921052631578952,0.38250000000000006,0.2858552631578948
M689,1e-05,1e-05,0.0,0.05,0.022515,0.1378,nSEG,2,GNSS,-0.0035150000000000008,0.062200000000000005,0.18500000000000005,0.311,0.24800000000000003
M690,1e-05,1e-05,0.0,0.08,0.022328,0.1745,nSEG,2,GNSS,-0.003328000000000001,0.025500000000000023,0.17515789473684218,0.1275000000000001,0.15132894736842115
